Probe,chromosome,chrStart,Gene,normOrder,ID,genomeOrderNew,Search_Key,Transcript,Source_Reference_ID,RefSeq_ID,gcProbeStart,Entrez_Gene_ID
ILMN_1212693,9,56765128,SNX33,9443,13209,13209,ILMN_215243,ILMN_215243,NM_175483.5,NM_175483.5,1338227549,235406
ILMN_1212695,15,103139071,GPR84,11673,20636,20636,ILMN_210921,ILMN_210921,NM_030720.1,NM_030720.1,2128533423,80910
ILMN_1212698,7,117939259,AMPD3,4252,10912,10912,ILMN_187963,ILMN_254575,NM_009667.2,NM_009667.2,1114528448,11717
ILMN_1212702,,,HBA-A1,12055,25552,25460,ILMN_216083,ILMN_216083,NM_008218.2,NM_008218.2,0,15122
ILMN_1212703,6,145165345,KRAS,14536,9241,9241,ILMN_218121,ILMN_243564,NM_021284.4,NM_021284.4,992187497,16653
ILMN_1212716,11,114913581,CD300E,5610,16802,16802,ILMN_212713,ILMN_212713,NM_172050.2,NM_172050.2,1650655429,217306
ILMN_1212717,17,71200404,TGIF1,23227,22496,22496,ILMN_211263,ILMN_211263,NM_009372.2,NM_009372.2,2298663880,21815
ILMN_1212720,4,117225574,PRNPIP1,19339,5698,5698,ILMN_210000,ILMN_210000,NM_080469.2,NM_080469.2,655955347,140546
ILMN_1212724,14,32971352,MSMB,15493,18955,18955,ILMN_212882,ILMN_212882,NM_020597.2,NM_020597.2,1933065840,17695
ILMN_1212752,3,55588435,MAB21L1,14558,3849,3849,ILMN_220550,ILMN_220550,NM_010750.2,NM_010750.2,434713425,17116
ILMN_1212759,2,26239096,SDCCAG3,6239,1669,1669,ILMN_188667,ILMN_315979,NM_001085408.1,NM_001085408.1,223504528,68112
ILMN_1212762,7,109642620,OLFR545,17400,10612,10612,ILMN_219003,ILMN_219003,NM_146840.1,NM_146840.1,1106231809,258837
ILMN_1212782,17,28669325,4930511I11RIK,2133,21801,21801,ILMN_223472,ILMN_223472,NM_026290.2,NM_026290.2,2256132801,67645
ILMN_1212791,5,114694024,MMAB,15190,7301,7301,ILMN_217276,ILMN_217276,NM_029956.2,NM_029956.2,809081917,77697
ILMN_1212794,2,152532354,H13,11953,3164,3164,ILMN_218792,ILMN_218792,NM_010376.3,NM_010376.3,349797786,14950
ILMN_1212799,2,109181472,KIF18A,13405,2626,2626,ILMN_212842,ILMN_212842,NM_139303.1,NM_139303.1,306446904,228421
ILMN_1212804,1,42755396,POU3F3,19013,223,223,ILMN_209815,ILMN_209815,NM_008900.2,NM_008900.2,42755396,18993
ILMN_1212812,4,138438387,PLA2G2E,18723,6152,6152,ILMN_223083,ILMN_223083,NM_012044.2,NM_012044.2,677168160,26970
ILMN_1212823,4,100114774,ROR1,20502,5489,5489,ILMN_184168,ILMN_251330,NM_013845.4,NM_013845.4,638844547,26563
ILMN_1212828,2,156680885,TGIF2,23230,3283,3283,ILMN_217736,ILMN_217736,NM_173396.2,NM_173396.2,353946317,228839
ILMN_1212835,1,90031395,UGT1A6A,24391,608,608,ILMN_184466,ILMN_184466,NM_145079.2,NM_145079.2,90031395,94284
ILMN_1212836,1,139960133,PTPRC,19621,946,946,ILMN_216515,ILMN_216515,NM_011210.2,NM_011210.2,139960133,19264
ILMN_1212840,2,131128409,RNF24,20436,2971,2971,ILMN_195040,ILMN_242327,NM_178607.3,NM_178607.3,328393841,51902
ILMN_1212850,7,144660130,GLRX3,24210,11261,11261,ILMN_187939,ILMN_187939,NM_023140.4,NM_023140.4,1141249319,30926
ILMN_1212854,2,37290650,ZBTB26,3208,1957,1957,ILMN_189930,ILMN_228933,NM_199025.2,NM_199025.2,234556082,320633
ILMN_1212875,4,140813024,ARHGEF19,4611,6197,6197,ILMN_219605,ILMN_219605,NM_172520.2,NM_172520.2,679542797,213649
ILMN_1212878,11,120977548,TEX19.2,2009,17015,17015,ILMN_222213,ILMN_222213,NM_027622.2,NM_027622.2,1656719396,70956
ILMN_1212884,12,70279911,PPIL5,19077,17308,17308,ILMN_216624,ILMN_246853,NM_001081406.1,NM_001081406.1,1728035615,69706
ILMN_1212894,20,13098619,CASK,6552,24253,24253,ILMN_220980,ILMN_220980,NM_009806.2,NM_009806.2,2488164207,12361
ILMN_1212902,8,126358854,RAB4A,19795,12596,12596,ILMN_223403,ILMN_223403,NM_009003.2,NM_009003.2,1275489596,19341
ILMN_1212906,20,98280209,SLC7A3,21828,24690,24690,ILMN_217425,ILMN_217425,NM_007515.2,NM_007515.2,2573345797,11989
ILMN_1212907,2,83721300,FAM171B,8504,2208,2208,ILMN_185549,ILMN_235850,NM_175514.2,NM_175514.2,280986732,241520
ILMN_1212921,2,36496109,OLFR345,17225,1932,1932,ILMN_199390,ILMN_199390,NM_146945.1,NM_146945.1,233761541,258947
ILMN_1212935,7,96557972,FZD4,10848,10451,10451,ILMN_222360,ILMN_222360,NM_008055.3,NM_008055.3,1093147161,14366
ILMN_1212938,17,35310433,AIF1,4044,22043,22043,ILMN_215740,ILMN_215740,NM_019467.2,NM_019467.2,2262773909,11629
ILMN_1212939,4,122795173,OXCT2B,17945,5824,5824,ILMN_216311,ILMN_216311,NM_181859.2,NM_181859.2,661524946,353371
ILMN_1212941,7,17334289,AP2S1,4432,9499,9499,ILMN_220223,ILMN_220223,NM_198613.1,NM_198613.1,1013923478,232910
ILMN_1212949,1,174012752,NCSTN,15891,1246,1246,ILMN_210184,ILMN_210184,NM_021607.2,NM_021607.2,174012752,59287
ILMN_1212953,10,17563423,TXLNB,24191,13917,13917,ILMN_211914,ILMN_211914,NM_138628.3,NM_138628.3,1423142016,378431
ILMN_1212966,17,31633066,WDR4,24955,21853,21853,ILMN_190541,ILMN_190541,NM_021322.1,NM_021322.1,2259096542,57773
ILMN_1212975,14,56188807,WDR23,24940,19217,19217,ILMN_189919,ILMN_189919,NM_133734.2,NM_133734.2,1956283295,28199
ILMN_1212980,9,57457017,LMAN1L,5476,13227,13227,ILMN_214284,ILMN_214284,NM_199222.2,NM_199222.2,1338919438,235416
ILMN_1212982,17,46550653,ZFP318,25401,22265,22265,ILMN_188841,ILMN_188841,NM_207671.2,NM_207671.2,2274014129,57908
ILMN_1212993,16,17643325,SMPD4,1829,20813,20813,ILMN_217142,ILMN_231677,NM_029945.2,NM_029945.2,2146637651,77626
ILMN_1212997,8,18932993,XKR5,2496,11550,11550,ILMN_211193,ILMN_211193,NM_176951.3,NM_176951.3,1168063735,319581
ILMN_1212998,1,120195193,TSN,24042,763,763,ILMN_187695,ILMN_187695,NM_011650.3,NM_011650.3,120195193,22099
ILMN_1213001,11,117641862,TMC6,23441,16893,16893,ILMN_189720,ILMN_189720,NM_145439.1,NM_145439.1,1653383710,217353
ILMN_1213002,20,100821147,ZCCHC13,7500,24728,24728,ILMN_196673,ILMN_258248,NM_029158.2,NM_029158.2,2575886735,75064
ILMN_1213014,16,33963928,UMPS,24418,21018,21018,ILMN_185873,ILMN_185873,NM_009471.2,NM_009471.2,2162958254,22247
ILMN_1213024,3,127337783,NEUROG2,16022,4662,4662,ILMN_214239,ILMN_214239,NM_009718.2,NM_009718.2,506462773,11924
ILMN_1213026,1,181557154,9630058J23RIK,3015,1330,1330,ILMN_217792,ILMN_217792,NM_146105.3,NM_146105.3,181557154,226744
ILMN_1213030,19,6343133,MAP4K2,14687,23440,23440,ILMN_188020,ILMN_244070,NM_009006.2,NM_009006.2,2420021291,26412
ILMN_1213053,3,99023040,WARS2,24893,4404,4404,ILMN_187788,ILMN_187788,NM_027462.4,NM_027462.4,478148030,70560
ILMN_1213055,16,17047133,MAPK1,2834,20792,20792,ILMN_196387,ILMN_209983,NM_011949.3,NM_011949.3,2146041459,26413
ILMN_1213056,9,36628311,FEZ1,10466,12905,12905,ILMN_214033,ILMN_214033,NM_183171.1,NM_183171.1,1318090732,235180
ILMN_1213068,6,123000053,CLEC4B1,839,8917,8917,ILMN_196321,ILMN_196321,NM_027218.2,NM_027218.2,970022205,69810
ILMN_1213070,2,130972090,1700037H04RIK,655,2962,2962,ILMN_191575,ILMN_232254,NM_026091.2,NM_026091.2,328237522,67326
ILMN_1213093,17,38312902,OLFR134,16930,22178,22178,ILMN_215734,ILMN_215734,NM_146832.1,NM_146832.1,2265776378,258829
ILMN_1213096,19,11902586,OLFR1417,16994,23601,23601,ILMN_219876,ILMN_219876,NM_146936.1,NM_146936.1,2425580744,258938
ILMN_1213101,7,12182644,LIG1,13874,9409,9409,ILMN_209408,ILMN_209408,NM_010715.1,NM_010715.1,1008771833,16881
ILMN_1213110,4,68452,OLFR159,17087,4886,4886,ILMN_199428,ILMN_199428,NM_019476.1,NM_019476.1,538798225,29849
ILMN_1213117,17,57402514,TRIP10,23951,22448,22448,ILMN_195696,ILMN_195696,NM_134125.3,NM_134125.3,2284865990,106628
ILMN_1213123,1,63631947,LOC100046035,3696,380,380,ILMN_212291,ILMN_317713,XM_001475441.1,XM_001475441.1,63631947,100046035
ILMN_1213124,15,82944082,RRP7A,171,20265,20265,ILMN_217289,ILMN_217289,NM_029101.3,NM_029101.3,2108338434,74778
ILMN_1213136,20,7035660,PIM2,18619,24162,24162,ILMN_210613,ILMN_210613,NM_138606.1,NM_138606.1,2482101248,18715
ILMN_1213139,4,122926924,HEYL,12182,5828,5828,ILMN_223024,ILMN_223024,NM_013905.3,NM_013905.3,661656697,56198
ILMN_1213144,6,136762419,WBP11,24902,9173,9173,ILMN_190208,ILMN_190208,NM_021714.3,NM_021714.3,983784571,60321
ILMN_1213148,2,32828759,SLC2A8,21669,1872,1872,ILMN_211896,ILMN_211896,NM_019488.4,NM_019488.4,230094191,56017
ILMN_1213167,7,118219813,EIF4G2,9846,10918,10918,ILMN_210976,ILMN_210976,scl000210.1_44,NM_013507.2,1114809002,
ILMN_1213200,10,79357864,MED16,23283,14390,14390,ILMN_221890,ILMN_221890,NM_198107.1,NM_198107.1,1484936457,216154
ILMN_1213216,16,21222958,EPHB3,10033,20900,20900,ILMN_213207,ILMN_213207,NM_010143.1,NM_010143.1,2150217284,13845
ILMN_1213222,7,11219490,V1RL1,24722,9402,9402,ILMN_194444,ILMN_194444,NM_134228.1,NM_134228.1,1007808679,171262
ILMN_1213231,9,110613608,CCDC12,1564,13711,13711,ILMN_215896,ILMN_215896,NM_028312.2,NM_028312.2,1392076029,72654
ILMN_1213257,13,23848905,HIST1H4B,12262,18033,18033,ILMN_193456,ILMN_229179,NM_178193.1,NM_178193.1,1802999139,326620
ILMN_1213265,1,297456,2610208M17RIK,1469,10,10,ILMN_223397,ILMN_223397,NM_181732.3,NM_181732.3,297456,108909
ILMN_1213268,2,152977080,HCK,12075,3180,3180,ILMN_212615,ILMN_212615,NM_010407.3,NM_010407.3,350242512,15162
ILMN_1213273,10,125451998,LRIG3,14359,14794,14794,ILMN_220870,ILMN_220870,NM_177152.4,NM_177152.4,1531030591,320398
ILMN_1213275,2,112107146,SLC12A6,21480,2679,2679,ILMN_214309,ILMN_214309,NM_133649.1,NM_133649.1,309372578,107723
ILMN_1213286,4,42786574,CCL21A,6696,5102,5102,ILMN_208956,ILMN_208956,NM_011124.4,NM_011124.4,581516347,18829
ILMN_1213287,2,158461106,ACTR5,3659,3314,3314,ILMN_214032,ILMN_214032,NM_175419.4,NM_175419.4,355726538,109275
ILMN_1213289,2,155316490,GGT7,11155,3237,3237,ILMN_210362,ILMN_210362,NM_144786.1,NM_144786.1,352581922,207182
ILMN_1213290,11,102061306,HDAC5,12099,16612,16612,ILMN_215410,ILMN_239334,NM_001077696.1,NM_001077696.1,1637803154,15184
ILMN_1213296,8,4207931,EVI5L,5138,11455,11455,ILMN_185073,ILMN_248622,NM_001039578.2,NM_001039578.2,1153338673,213027
ILMN_1213307,1,74443132,CTDSP1,8024,464,464,ILMN_212383,ILMN_212383,NM_153088.1,NM_153088.1,74443132,227292
ILMN_1213309,19,4612179,LRFN4,14355,23323,23323,ILMN_209469,ILMN_209469,NM_153388.3,NM_153388.3,2418290337,225875
ILMN_1213311,18,34849900,LOC100045484,11134,22818,22818,ILMN_211590,ILMN_313768,XM_001474380.1,XM_001474380.1,2357691027,100045484
ILMN_1213316,6,21925474,ING3,12949,8037,8037,ILMN_216172,ILMN_216172,NM_023626.4,NM_023626.4,868947626,71777
ILMN_1213337,20,33738729,ZCCHC12,25220,24319,24319,ILMN_190695,ILMN_190695,NM_028325.2,NM_028325.2,2508804317,72693
ILMN_1213351,11,98538879,GSDMA1,11802,16445,16445,ILMN_223708,ILMN_223708,NM_021347.3,NM_021347.3,1634280727,57911
ILMN_1213354,12,3502382,ASXL2,4823,17043,17043,ILMN_188049,ILMN_248250,NM_172421.3,NM_172421.3,1661258086,75302
ILMN_1213355,6,57021699,V1RC30,24625,8377,8377,ILMN_190454,ILMN_190454,NM_134185.1,NM_134185.1,904043851,171203
ILMN_1213368,7,113896373,OLFR698,17537,10790,10790,ILMN_222684,ILMN_229161,NM_146602.2,NM_146602.2,1110485562,258595
ILMN_1213371,6,25634026,GPR37,11644,8062,8062,ILMN_221297,ILMN_221297,NM_010338.1,NM_010338.1,872656178,14763
ILMN_1213376,19,5494951,CFL1,7145,23385,23385,ILMN_216300,ILMN_216300,NM_007687.2,NM_007687.2,2419173109,12631
ILMN_1213393,11,114789658,CD300LB,11325,16795,16795,ILMN_222861,ILMN_222861,NM_199221.2,NM_199221.2,1650531506,217304
ILMN_1213405,,,4930488L10RIK,2114,25270,25178,ILMN_190918,ILMN_190918,scl43138.14.1_290,,0,
ILMN_1213409,6,132860342,TAS2R125,22911,9135,9135,ILMN_220184,ILMN_220184,NM_207027.1,NM_207027.1,979882494,387352
ILMN_1213426,1,75144408,FAM134A,5629,495,495,ILMN_216136,ILMN_216136,NM_170755.2,NM_170755.2,75144408,227298
ILMN_1213437,4,83099147,SNAPC3,22016,5383,5383,ILMN_187287,ILMN_249101,NM_029949.3,NM_029949.3,621828920,77634
ILMN_1213441,6,132902006,TAS2R129,22913,9136,9136,ILMN_220821,ILMN_220821,NM_207029.1,NM_207029.1,979924158,387354
ILMN_1213449,9,56989929,MAN2C1,14639,13214,13214,ILMN_221214,ILMN_221214,NM_028636.2,NM_028636.2,1338452350,73744
ILMN_1213456,12,73753248,DHRS7,8942,17366,17366,ILMN_213586,ILMN_213586,NM_025522.3,NM_025522.3,1731508952,66375
ILMN_1213458,2,11699089,FBXO18,10363,1516,1516,ILMN_219227,ILMN_219227,NM_015792.1,NM_015792.1,208964521,50755
ILMN_1213473,13,23636243,HIST1H3F,12258,18007,18007,ILMN_215073,ILMN_215073,NM_013548.2,NM_013548.2,1802786477,260423
ILMN_1213474,20,99443116,CITED1,7309,24711,24711,ILMN_211043,ILMN_211043,NM_007709.3,NM_007709.3,2574508704,12705
ILMN_1213483,11,59605409,FLCN,5222,15591,15591,ILMN_210700,ILMN_210700,NM_146018.1,NM_146018.1,1595347257,216805
ILMN_1213495,3,95998899,SV2A,22696,4339,4339,ILMN_218994,ILMN_218994,NM_022030.3,NM_022030.3,475123889,64051
ILMN_1213506,2,155824134,CEP250,7119,3259,3259,ILMN_219781,ILMN_251284,NM_008383.2,NM_008383.2,353089566,16328
ILMN_1213524,8,86247104,DDX39,8778,12070,12070,ILMN_211141,ILMN_211141,NM_197982.2,NM_197982.2,1235377846,68278
ILMN_1213531,1,136328667,ADIPOR1,3795,903,903,ILMN_212894,ILMN_212894,NM_028320.3,NM_028320.3,136328667,72674
ILMN_1213535,13,120123561,NNT,16196,18737,18737,ILMN_216429,ILMN_216429,NM_008710.3,NM_008710.3,1899273795,18115
ILMN_1213549,3,90042833,CREB3L4,7835,4157,4157,ILMN_223420,ILMN_223420,NM_030080.2,NM_030080.2,469167823,78284
ILMN_1213564,7,9943922,VMN2R42,24731,9397,9397,ILMN_193892,ILMN_193892,NM_009493.1,NM_009493.1,1006533111,22310
ILMN_1213572,1,136437641,4931440L10RIK,2262,907,907,ILMN_213130,ILMN_314153,XR_033559.1,XR_033559.1,136437641,71001
ILMN_1213573,2,26876363,5930434B04RIK,2622,1698,1698,ILMN_212458,ILMN_249193,NM_029862.3,NM_029862.3,224141795,381356
ILMN_1213574,1,9714589,VCPIP1,2560,39,39,ILMN_186693,ILMN_257753,NM_173443.2,NM_173443.2,9714589,70675
ILMN_1213579,10,127280233,AY053573,5118,14851,14851,ILMN_210386,ILMN_242195,NM_199313.1,NM_199313.1,1532858826,380674
ILMN_1213596,1,173529883,LY9,14518,1234,1234,ILMN_222962,ILMN_222962,scl15933.11.1_5,NM_008534.1,173529883,
ILMN_1213604,,,ARHGDIB,4601,25135,25485,ILMN_216828,ILMN_216828,NM_007486.3,NM_007486.3,0,11857
ILMN_1213615,10,127186718,GPR182,3801,14845,14845,ILMN_220030,ILMN_220030,NM_007412.2,NM_007412.2,1532765311,11536
ILMN_1213617,2,164659844,CTSA,19060,3415,3415,ILMN_217300,ILMN_248835,NM_001038492.1,NM_001038492.1,361925276,19025
ILMN_1213618,5,110587859,CHFR,7191,7234,7234,ILMN_210104,ILMN_210104,NM_172717.2,NM_172717.2,804975752,231600
ILMN_1213632,2,172984591,PCK1,18221,3522,3522,ILMN_195958,ILMN_238641,NM_011044.2,NM_011044.2,370250023,18534
ILMN_1213645,7,134237275,AI467606,3975,11115,11115,ILMN_220903,ILMN_220903,NM_178901.3,NM_178901.3,1130826464,101602
ILMN_1213672,9,69856055,BNIP2,5985,13355,13355,ILMN_219992,ILMN_219992,NM_016787.3,NM_016787.3,1351318476,12175
ILMN_1213678,15,76036475,PLEC1,18784,20031,20031,ILMN_219472,ILMN_230991,NM_201389.1,NM_201389.1,2101430827,18810
ILMN_1213680,4,126801212,ZMYM6,2929,5906,5906,ILMN_195505,ILMN_261612,NM_177462.4,NM_177462.4,665530985,100177
ILMN_1213681,18,38421800,0610009O20RIK,31,22930,22930,ILMN_220613,ILMN_220613,NM_024179.4,NM_024179.4,2361262927,66839
ILMN_1213692,10,76225015,PCBP3,18150,14309,14309,ILMN_223326,ILMN_223326,NM_021568.1,NM_021568.1,1481803608,59093
ILMN_1213711,11,69139064,TRAPPC1,14086,15746,15746,ILMN_199140,ILMN_259913,NM_001024206.1,NM_001024206.1,1604880912,245828
ILMN_1213721,9,38296397,OLFR906,17705,12952,12952,ILMN_210787,ILMN_260760,NM_146803.2,NM_146803.2,1319758818,258799
ILMN_1213725,2,5789172,NUDT5,16476,1485,1485,ILMN_213908,ILMN_213908,NM_016918.3,NM_016918.3,203054604,53893
ILMN_1213728,15,84878912,FAM118A,1773,20305,20305,ILMN_220183,ILMN_233729,NM_177067.2,NM_177067.2,2110273264,73225
ILMN_1213736,5,150233499,6330406I15RIK,2656,7945,7945,ILMN_213942,ILMN_213942,NM_027519.3,NM_027519.3,844621392,70717
ILMN_1213745,14,65656235,INTS9,8391,19361,19361,ILMN_220208,ILMN_220208,NM_153414.3,NM_153414.3,1965750723,210925
ILMN_1213750,18,37573642,PCDHB10,18179,22887,22887,ILMN_210972,ILMN_210972,NM_053135.2,NM_053135.2,2360414769,93881
ILMN_1213763,1,178070117,PLD5,5176,1307,1307,ILMN_213986,ILMN_213986,NM_176916.4,NM_176916.4,178070117,319455
ILMN_1213777,13,119578611,FGF10,10487,18733,18733,ILMN_221505,ILMN_221505,NM_008002.3,NM_008002.3,1898728845,14165
ILMN_1213779,19,6261975,ATG2A,5508,23434,23434,ILMN_211981,ILMN_258683,NM_194348.3,NM_194348.3,2419940133,329015
ILMN_1213787,10,77502430,AIRE,4059,14335,14335,ILMN_219372,ILMN_219372,NM_009646.1,NM_009646.1,1483081023,11634
ILMN_1213805,4,104488425,C8A,6357,5520,5520,ILMN_221036,ILMN_221036,NM_146148.1,NM_146148.1,643218198,230558
ILMN_1213809,14,122310841,GPR18,11622,19620,19620,ILMN_221383,ILMN_221383,NM_182806.1,NM_182806.1,2022405329,110168
ILMN_1213811,8,120282599,HSD17B2,12515,12495,12495,ILMN_217796,ILMN_217796,NM_008290.2,NM_008290.2,1269413341,15486
ILMN_1213817,4,61744534,MUP3,15616,5294,5294,ILMN_224289,ILMN_248609,NM_001039544.1,NM_001039544.1,600474307,17842
ILMN_1213838,18,39531826,ARHGAP26,2406,22943,22943,ILMN_223634,ILMN_223634,NM_175164.4,NM_175164.4,2362372953,71302
ILMN_1213850,1,82717459,COL4A3,7622,543,543,ILMN_211113,ILMN_211113,NM_007734.2,NM_007734.2,82717459,12828
ILMN_1213855,3,115731667,EXTL2,10196,4599,4599,ILMN_221333,ILMN_221333,NM_021388.3,NM_021388.3,494856657,58193
ILMN_1213856,19,12194499,OLFR76,17589,23614,23614,ILMN_212255,ILMN_212255,NM_146682.1,NM_146682.1,2425872657,258677
ILMN_1213858,4,99468822,ITGB3BP,2104,5485,5485,ILMN_217586,ILMN_217586,NM_026348.3,NM_026348.3,638198595,67733
ILMN_1213872,17,45256160,SUPT3H,22672,22224,22224,ILMN_221247,ILMN_221247,NM_178652.2,NM_178652.2,2272719636,109115
ILMN_1213873,9,51756703,FDX1,10446,13159,13159,ILMN_222954,ILMN_222954,NM_007996.1,NM_007996.1,1333219124,14148
ILMN_1213880,7,112065164,OLFR667,17509,10735,10735,ILMN_219593,ILMN_219593,scl0259062.1_59,,1108654353,
ILMN_1213882,7,87461842,LOC675567,20101,10366,10366,ILMN_215379,ILMN_322614,XR_034180.1,XR_034180.1,1084051031,675567
ILMN_1213883,4,8534768,RAB2A,19755,4913,4913,ILMN_217731,ILMN_217731,NM_021518.3,NM_021518.3,547264541,59021
ILMN_1213886,11,101739105,MEOX1,14964,16589,16589,ILMN_211740,ILMN_211740,NM_010791.3,NM_010791.3,1637480953,17285
ILMN_1213899,17,25965206,WDR24,5626,21731,21731,ILMN_214627,ILMN_214627,NM_173741.2,NM_173741.2,2253428682,268933
ILMN_1213910,6,143781629,SOX5,22154,9229,9229,ILMN_210889,ILMN_210889,NM_011444.1,NM_011444.1,990803781,20678
ILMN_1213911,9,44218793,CCDC84,8550,13064,13064,ILMN_214397,ILMN_214397,NM_201372.3,NM_201372.3,1325681214,382073
ILMN_1213914,5,145945437,ATP5J2,4910,7895,7895,ILMN_222082,ILMN_222082,NM_020582.2,NM_020582.2,840333330,57423
ILMN_1213915,13,99696237,TNPO1,23707,18616,18616,ILMN_189241,ILMN_189241,NM_178716.3,NM_178716.3,1878846471,238799
ILMN_1213917,2,25541323,LCN10,2911,1649,1649,ILMN_218848,ILMN_218848,NM_178036.3,NM_178036.3,222806755,332578
ILMN_1213920,6,115568502,MKRN2,15145,8818,8818,ILMN_222564,ILMN_222564,NM_023290.2,NM_023290.2,962590654,67027
ILMN_1213929,3,146175012,BXDC5,1174,4815,4815,ILMN_214900,ILMN_214900,NM_027332.2,NM_027332.2,525300002,70285
ILMN_1213935,12,113892664,AKT1,4130,17777,17777,ILMN_218987,ILMN_218987,NM_009652.2,NM_009652.2,1771648368,11651
ILMN_1213939,20,17723537,DUSP21,717,24269,24269,ILMN_222304,ILMN_251757,NM_028568.1,NM_028568.1,2492789125,73547
ILMN_1213941,10,106930227,MYF6,15666,14678,14678,ILMN_212240,ILMN_212240,NM_008657.2,NM_008657.2,1512508820,17878
ILMN_1213947,3,108971008,SLC25A24,21607,4576,4576,ILMN_209290,ILMN_209290,NM_172685.3,NM_172685.3,488095998,229731
ILMN_1213954,10,21719392,SGK1,21269,13956,13956,ILMN_189981,ILMN_232816,NM_011361.1,NM_011361.1,1427297985,20393
ILMN_1213958,12,60079449,SEC23A,20989,17282,17282,ILMN_184862,ILMN_228494,NM_009147.2,NM_009147.2,1717835153,20334
ILMN_1213960,8,11831538,ARHGEF7,4616,11491,11491,ILMN_215957,ILMN_215957,NM_017402.3,NM_017402.3,1160962280,54126
ILMN_1213963,9,103252454,TOPBP1,23749,13563,13563,ILMN_194653,ILMN_194653,NM_176979.5,NM_176979.5,1384714875,235559
ILMN_1213971,5,110600505,CHFR,7194,7236,7236,ILMN_210104,ILMN_210104,NM_172717.2,NM_172717.2,804988398,231600
ILMN_1213975,15,100646314,SLC4A8,21783,20527,20527,ILMN_221979,ILMN_221979,NM_021530.2,NM_021530.2,2126040666,59033
ILMN_1213978,6,137411117,PTPRO,19643,9183,9183,ILMN_213655,ILMN_213655,NM_011216.2,NM_011216.2,984433269,19277
ILMN_1213981,6,115794608,MBD4,14813,8823,8823,ILMN_219494,ILMN_219494,NM_010774.1,NM_010774.1,962816760,17193
ILMN_1213982,20,71519529,DNASE1L1,9124,24562,24562,ILMN_215053,ILMN_215053,NM_027109.1,NM_027109.1,2546585117,69537
ILMN_1214000,20,69501004,LOC100044133,10922,24507,24507,ILMN_220325,ILMN_318112,XM_001478434.1,XM_001478434.1,2544566592,100044133
ILMN_1214025,17,56037988,BC011426,5406,22371,22371,ILMN_220716,ILMN_220716,NM_145490.4,NM_145490.4,2283501464,224893
ILMN_1214031,4,116800666,TCTEX1D4,1927,5689,5689,ILMN_217277,ILMN_217277,NM_175030.2,NM_175030.2,655530439,242646
ILMN_1214036,13,12531082,HEATR1,12123,17868,17868,ILMN_214317,ILMN_214317,NM_144835.4,NM_144835.4,1791681316,217995
ILMN_1214044,11,73589996,OLFR389,17259,15930,15930,ILMN_213367,ILMN_213367,NM_147009.2,NM_147009.2,1609331844,259011
ILMN_1214050,4,132014667,MED18,14936,5999,5999,ILMN_208709,ILMN_208709,NM_026039.2,NM_026039.2,670744440,67219
ILMN_1214053,2,168751087,ZFP64,25543,3489,3489,ILMN_195412,ILMN_195412,NM_009564.1,NM_009564.1,366016519,22722
